country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Guangxi,WUZ,ZGWZ,Wuzhou Xijiang Airport,23.4567,111.248,梧州市,广西壮族自治区,Wuzhou,Guangxi
CN,Guizhou,ACX,ZUYI,Xingyi Wanfenglin Airport,25.0864,104.959,黔西南布依族苗族自治州,贵州省,Qianxinanbuyizumiaozu,Guizhou
CN,Guizhou,AVA,ZUAS,Anshun Huangguoshu Airport,26.2606,105.873,安顺市,贵州省,Anshun,Guizhou
CN,Guizhou,BFJ,ZUBJ,Bijie Feixiong Airport,27.2671,105.472,毕节市,贵州省,Bijie,Guizhou
CN,Guizhou,HZH,ZUNP,Liping Airport,26.3222,109.15,黔东南苗族侗族自治州,贵州省,Qiandongnanmiaozudongzu,Guizhou
CN,Guizhou,KJH,,Kaili Huangping Airport,26.972,107.988,黔东南苗族侗族自治州,贵州省,Qiandongnanmiaozudongzu,Guizhou
CN,Guizhou,KWE,ZUGY,Guiyang Longdongbao International Airport,26.5385,106.801,贵阳市,贵州省,Guiyang,Guizhou
CN,Guizhou,LLB,ZULB,Libo Airport (Qiannan Airport),25.4525,107.962,黔南布依族苗族自治州,贵州省,Qiannanbuyizumiaozu,Guizhou
CN,Guizhou,LPF,ZUPS,Liupanshui Yuezhao Airport,26.6094,104.979,六盘水市,贵州省,Liupanshui,Guizhou
CN,Guizhou,TEN,ZUTR,Tongren Fenghuang Airport,27.8833,109.309,铜仁市,贵州省,Tongren,Guizhou
CN,Guizhou,WMT,ZUMT,Zunyi Maotai Airport,27.8164,106.333,遵义市,贵州省,Zunyi,Guizhou
CN,Guizhou,ZYI,ZUZY,Zunyi Xinzhou Airport,27.5895,107.001,遵义市,贵州省,Zunyi,Guizhou
CN,Hainan,BAR,,Qionghai Bo'ao Airport,19.1382,110.455,琼海市,海南省,Qionghai,Hainan
CN,Hainan,HAK,ZJHK,Haikou Meilan International Airport,19.9349,110.459,海口市,海南省,Haikou,Hainan
CN,Hainan,SYX,ZJSY,Sanya Phoenix International Airport,18.3029,109.412,三亚市,海南省,Sanya,Hainan
CN,Hebei,BPE,ZBDH,Qinhuangdao Beidaihe Airport,39.6664,119.059,秦皇岛市,河北省,Qinhuangdao,Hebei
CN,Hebei,CDE,ZBCD,Chengde Puning Airport,41.1225,118.074,承德市,河北省,Chengde,Hebei
CN,Hebei,HDG,ZBHD,Handan Airport,36.5258,114.426,邯郸市,河北省,Handan,Hebei
CN,Hebei,SHP,ZBSH,Shanhaiguan Airport,39.9681015015,119.731002808,秦皇岛市,河北省,Qinhuangdao,Hebei
CN,Hebei,SJW,ZBSJ,Shijiazhuang Zhengding International Airport,38.2807,114.697,石家庄市,河北省,Shijiazhuang,Hebei
CN,Hebei,TVS,ZBTS,Tangshan Sannuhe Airport,39.7178,118.003,唐山市,河北省,Tangshan,Hebei
CN,Hebei,XNT,ZBXT,Xingtai Dalian Airport,36.8831,114.429,邢台市,河北省,Xingtai,Hebei
CN,Hebei,ZQZ,ZBZJ,Zhangjiakou Ningyuan Airport,40.7386,114.93,张家口市,河北省,Zhangjiakou,Hebei
CN,Heilongjiang,DQA,ZYDQ,Daqing Sartu Airport,46.7464,125.141,大庆市,黑龙江省,Daqing,Heilongjiang
CN,Heilongjiang,DTU,,Wudalianchi Airport,48.445,126.133,黑河市,黑龙江省,Heihe,Heilongjiang
