country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Sichuan,KGT,ZUKD,Kangding Airport,30.1575,101.735,甘孜藏族自治州,四川省,Ganzizangzu,Sichuan
CN,Sichuan,LZO,ZULZ,Luzhou Yunlong Airport,29.03,105.47,泸州市,四川省,Luzhou,Sichuan
CN,Sichuan,MIG,ZUMY,Mianyang Nanjiao Airport,31.4281,104.741,绵阳市,四川省,Mianyang,Sichuan
CN,Sichuan,NAO,ZUNC,Nanchong Gaoping Airport,30.7955,106.163,南充市,四川省,Nanchong,Sichuan
CN,Sichuan,PZI,ZUZH,Panzhihua Bao'anying Airport,26.54,101.799,攀枝花市,四川省,Panzhihua,Sichuan
CN,Sichuan,TFU,ZUTF,Chengdu Tianfu International Airport,30.319,104.445,成都市,四川省,Chengdu,Sichuan
CN,Sichuan,XIC,ZUXC,Xichang Qingshan Airport,27.9891,102.184,凉山彝族自治州,四川省,Liangshanyizu,Sichuan
CN,Sichuan,YBP,ZUYB,Yibin Caiba Airport,28.8006,104.545,宜宾市,四川省,Yibin,Sichuan
CN,Sichuan Sheng,DZH,ZUDA,Dazhou Jinya Airport,31.04,107.44,达州市,四川省,Dazhou,Sichuan
CN,Tianjin,TSN,ZBTJ,Tianjin Binhai International Airport,39.1244,117.346,天津市,天津市,Tianjin,Tianjin
CN,Xinjiang,AAT,ZWAT,Altay Airport,47.7499,88.0858,阿勒泰地区,新疆维吾尔自治区,Aletai,Xinjiang
CN,Xinjiang,AKU,ZWAK,Aksu Airport,41.2625,80.2917,阿克苏地区,新疆维吾尔自治区,Akesu,Xinjiang
CN,Xinjiang,BPL,ZWBL,Bole Alashankou Airport,44.895,82.3,博尔塔拉蒙古自治州,新疆维吾尔自治区,Boertalamenggu,Xinjiang
CN,Xinjiang,FYN,ZWFY,Fuyun Koktokay Airport,46.8042,89.512,阿勒泰地区,新疆维吾尔自治区,Aletai,Xinjiang
CN,Xinjiang,HMI,ZWHM,Hami Airport (Kumul Airport),42.8414,93.6692,哈密市,新疆维吾尔自治区,Hami,Xinjiang
CN,Xinjiang,HTN,ZWTN,Hotan Airport,37.0385,79.8649,和田地区,新疆维吾尔自治区,Hetian,Xinjiang
CN,Xinjiang,IQM,ZWCM,Qiemo Airport,38.2336,85.4656,巴音郭楞蒙古自治州,新疆维吾尔自治区,Bayinguolengmenggu,Xinjiang
CN,Xinjiang,KCA,ZWKC,Kuqa Qiuci Airport,41.6779,82.8729,阿克苏地区,新疆维吾尔自治区,Akesu,Xinjiang
CN,Xinjiang,KHG,ZWSH,Kashgar Airport (Kashi Airport),39.5429,76.02,喀什地区,新疆维吾尔自治区,Kashi,Xinjiang
CN,Xinjiang,KJI,ZWKN,Kanas Airport,48.2223,86.9959,阿勒泰地区,新疆维吾尔自治区,Aletai,Xinjiang
CN,Xinjiang,KRL,ZWKL,Korla Airport,41.6978,86.1289,巴音郭楞蒙古自治州,新疆维吾尔自治区,Bayinguolengmenggu,Xinjiang
CN,Xinjiang,KRY,ZWKM,Karamay Airport,45.4665,84.9527,克拉玛依市,新疆维吾尔自治区,Kelamayi,Xinjiang
CN,Xinjiang,NLT,ZWNL,Xinyuan Nalati Airport,43.4318,83.3786,伊犁哈萨克自治州,新疆维吾尔自治区,Yilihasake,Xinjiang
CN,Xinjiang,QSZ,,Shache Airport,38.2811,77.0752,喀什地区,新疆维吾尔自治区,Kashi,Xinjiang
CN,Xinjiang,RQA,ZWRQ,Ruoqiang Loulan Airport,38.9747,88.0083,巴音郭楞蒙古自治州,新疆维吾尔自治区,Bayinguolengmenggu,Xinjiang
CN,Xinjiang,SHF,ZWHZ,Shihezi Huayuan Airport,44.2421,85.8905,塔城地区,新疆维吾尔自治区,Tacheng,Xinjiang
CN,Xinjiang,SXJ,ZWSS,Shanshan Airport,42.9117,90.2475,吐鲁番市,新疆维吾尔自治区,Tulufan,Xinjiang
CN,Xinjiang,TCG,ZWTC,Tacheng Airport,46.6725,83.3408,塔城地区,新疆维吾尔自治区,Tacheng,Xinjiang
CN,Xinjiang,TLQ,ZWTL,Turpan Jiaohe Airport,43.0308,89.0987,吐鲁番市,新疆维吾尔自治区,Tulufan,Xinjiang
CN,Xinjiang,URC,ZWWW,Urumqi Diwopu International Airport,43.9071,87.4742,乌鲁木齐市,新疆维吾尔自治区,Wulumuqi,Xinjiang
CN,Xinjiang,YIN,ZWYN,Yining Airport,43.9558,81.3303,伊犁哈萨克自治州,新疆维吾尔自治区,Yilihasake,Xinjiang
CN,Xizang,BPX,ZUBD,Qamdo Bamda Airport,30.5536,97.1083,昌都市,西藏自治区,Changdu,Xizang
CN,Xizang,LXA,ZULS,Lhasa Gonggar Airport,29.2978,90.9119,山南市,西藏自治区,Shannan,Xizang
CN,Xizang,LZY,ZUNZ,Nyingchi Mainling Airport,29.3033,94.3353,林芝市,西藏自治区,Linzhi,Xizang
CN,Xizang,NGQ,ZUAL,Ngari Gunsa Airport,32.1,80.0531,阿里地区,西藏自治区,Ali,Xizang
CN,Xizang,RKZ,ZURK,Shigatse Peace Airport,29.3519,89.3114,日喀则市,西藏自治区,Rikaze,Xizang
CN,Yunnan,BSD,ZPBS,Baoshan Yunduan Airport,25.0533,99.1683,保山市,云南省,Baoshan,Yunnan
CN,Yunnan,CWJ,ZPCW,Cangyuan Washan Airport,23.2739,99.3736,临沧市,云南省,Lincang,Yunnan
CN,Yunnan,DIG,ZPDQ,Diqing Shangri-La Airport,27.7936,99.6772,迪庆藏族自治州,云南省,Diqingzangzu,Yunnan
CN,Yunnan,DLU,ZPDL,Dali Airport,25.6494,100.319,大理白族自治州,云南省,Dalibaizu,Yunnan
CN,Yunnan,JHG,ZPJH,Xishuangbanna Gasa Airport,21.9739,100.76,西双版纳傣族自治州,云南省,Xishuangbannadaizu,Yunnan
CN,Yunnan,JMJ,ZPJM,Lancang Jingmai Airport,22.4158,99.7864,普洱市,云南省,Puer,Yunnan
CN,Yunnan,KMG,ZPPP,Kunming Changshui International Airport,25.1019,102.929,昆明市,云南省,Kunming,Yunnan
CN,Yunnan,LJG,ZPLJ,Lijiang Sanyi Airport,26.68,100.246,丽江市,云南省,Lijiang,Yunnan
CN,Yunnan,LNJ,ZPLC,Lincang Airport,23.7381,100.025,临沧市,云南省,Lincang,Yunnan
CN,Yunnan,LUM,ZPMS,Dehong Mangshi Airport,24.4011,98.5317,德宏傣族景颇族自治州,云南省,Dehongdaizujingpozu,Yunnan
CN,Yunnan,NLH,,Ninglang Luguhu Airport,27.5403,100.759,丽江市,云南省,Lijiang,Yunnan
CN,Yunnan,SYM,ZPSM,Pu'er Simao Airport,22.7933,100.959,普洱市,云南省,Puer,Yunnan
CN,Yunnan,TCZ,ZUTC,Tengchong Tuofeng Airport,24.9381,98.4858,保山市,云南省,Baoshan,Yunnan
CN,Yunnan,WNH,ZPWS,Wenshan Puzhehei Airport,23.5583,104.326,文山壮族苗族自治州,云南省,Wenshanzhuangzumiaozu,Yunnan
CN,Yunnan,YUA,ZPYM,Yuanmou Air Base,25.7375,101.882,楚雄彝族自治州,云南省,Chuxiongyizu,Yunnan
CN,Yunnan,ZAT,ZPZT,Zhaotong Airport,27.3256,103.755,昭通市,云南省,Zhaotong,Yunnan
CN,Zhejiang,HGH,ZSHC,Hangzhou Xiaoshan International Airport,30.2295,120.434,杭州市,浙江省,Hangzhou,Zhejiang
CN,Zhejiang,HSN,ZSZS,Zhoushan Putuoshan Airport,29.9342,122.362,舟山市,浙江省,Zhoushan,Zhejiang
CN,Zhejiang,HYN,ZSLQ,Taizhou Luqiao Airport,28.5622,121.429,台州市,浙江省,Taizhou,Zhejiang
CN,Zhejiang,JUZ,ZSJU,Quzhou Airport,28.9658,118.899,衢州市,浙江省,Quzhou,Zhejiang
CN,Zhejiang,NGB,ZSNB,Ningbo Lishe International Airport,29.8267,121.462,宁波市,浙江省,Ningbo,Zhejiang
CN,Zhejiang,WNZ,ZSWZ,Wenzhou Longwan International Airport,27.9122,120.852,温州市,浙江省,Wenzhou,Zhejiang
CN,Zhejiang,YIW,ZSYW,Yiwu Airport,29.3447,120.032,金华市,浙江省,Jinhua,Zhejiang
HK,Hong Kong,HKG,VHHH,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915,香港特别行政区,香港特别行政区,HongKong,HongKong
MO,Macau,MFM,VMMC,Macau International Airport,22.1496,113.592,澳门特别行政区,澳门特别行政区,Macao,Aomen
