country_code,region_name,iata,icao,airport,lat,lon,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,NAME_1,TYPE_1
CN,Guangdong,ZUH,ZGSD,Zhuhai Jinwan Airport (Zhuhai Sanzao Airport),22.0064,113.376,珠海市,440400,珠海市,440400,地级市,广东省,440000,省,Guangdong,Province
CN,Guangxi,AEB,ZGBS,Baise Bama Airport,23.7206,106.96,百色市,451000,百色市,451000,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guangxi,BHY,ZGBH,Beihai Fucheng Airport,21.5394,109.294,北海市,450500,北海市,450500,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guangxi,HCJ,ZGHC,Hechi Jinchengjiang Airport,24.805,107.7,河池市,451200,河池市,451200,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guangxi,KWL,ZGKL,Guilin Liangjiang International Airport,25.2181,110.039,桂林市,450300,桂林市,450300,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guangxi,LZH,ZGZH,Liuzhou Bailian Airport,24.2075,109.391,柳州市,450200,柳州市,450200,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guangxi,NNG,ZGNN,Nanning Wuxu International Airport,22.6083,108.172,南宁市,450100,南宁市,450100,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guangxi,WUZ,ZGWZ,Wuzhou Xijiang Airport,23.4567,111.248,梧州市,450400,梧州市,450400,地级市,广西壮族自治区,450000,自治区,Guangxi,Autonomous Region
CN,Guizhou,ACX,ZUYI,Xingyi Wanfenglin Airport,25.0864,104.959,黔西南布依族苗族自治州,522300,黔西南布依族苗族自治州,522300,自治州,贵州省,520000,省,Guizhou,Province
CN,Guizhou,AVA,ZUAS,Anshun Huangguoshu Airport,26.2606,105.873,安顺市,520400,安顺市,520400,地级市,贵州省,520000,省,Guizhou,Province
CN,Guizhou,BFJ,ZUBJ,Bijie Feixiong Airport,27.2671,105.472,毕节市,520500,毕节市,520500,地级市,贵州省,520000,省,Guizhou,Province
CN,Guizhou,HZH,ZUNP,Liping Airport,26.3222,109.15,黔东南苗族侗族自治州,522600,黔东南苗族侗族自治州,522600,自治州,贵州省,520000,省,Guizhou,Province
CN,Guizhou,KJH,,Kaili Huangping Airport,26.972,107.988,黔东南苗族侗族自治州,522600,黔东南苗族侗族自治州,522600,自治州,贵州省,520000,省,Guizhou,Province
CN,Guizhou,KWE,ZUGY,Guiyang Longdongbao International Airport,26.5385,106.801,贵阳市,520100,贵阳市,520100,地级市,贵州省,520000,省,Guizhou,Province
CN,Guizhou,LLB,ZULB,Libo Airport (Qiannan Airport),25.4525,107.962,黔南布依族苗族自治州,522700,黔南布依族苗族自治州,522700,自治州,贵州省,520000,省,Guizhou,Province
CN,Guizhou,LPF,ZUPS,Liupanshui Yuezhao Airport,26.6094,104.979,六盘水市,520200,六盘水市,520200,地级市,贵州省,520000,省,Guizhou,Province
CN,Guizhou,TEN,ZUTR,Tongren Fenghuang Airport,27.8833,109.309,铜仁市,520600,铜仁市,520600,地级市,贵州省,520000,省,Guizhou,Province
CN,Guizhou,WMT,ZUMT,Zunyi Maotai Airport,27.8164,106.333,遵义市,520300,遵义市,520300,地级市,贵州省,520000,省,Guizhou,Province
CN,Guizhou,ZYI,ZUZY,Zunyi Xinzhou Airport,27.5895,107.001,遵义市,520300,遵义市,520300,地级市,贵州省,520000,省,Guizhou,Province
CN,Hainan,BAR,,Qionghai Bo'ao Airport,19.1382,110.455,琼海市,469002,不统计,0,不统计,海南省,460000,省,Hainan,Province
CN,Hainan,HAK,ZJHK,Haikou Meilan International Airport,19.9349,110.459,海口市,460100,海口市,460100,地级市,海南省,460000,省,Hainan,Province
CN,Hainan,SYX,ZJSY,Sanya Phoenix International Airport,18.3029,109.412,三亚市,460200,三亚市,460200,地级市,海南省,460000,省,Hainan,Province
CN,Hebei,BPE,ZBDH,Qinhuangdao Beidaihe Airport,39.6664,119.059,秦皇岛市,130300,秦皇岛市,130300,地级市,河北省,130000,省,Hebei,Province
CN,Hebei,CDE,ZBCD,Chengde Puning Airport,41.1225,118.074,承德市,130800,承德市,130800,地级市,河北省,130000,省,Hebei,Province
CN,Hebei,HDG,ZBHD,Handan Airport,36.5258,114.426,邯郸市,130400,邯郸市,130400,地级市,河北省,130000,省,Hebei,Province
CN,Hebei,SJW,ZBSJ,Shijiazhuang Zhengding International Airport,38.2807,114.697,石家庄市,130100,石家庄市,130100,地级市,河北省,130000,省,Hebei,Province
CN,Hebei,TVS,ZBTS,Tangshan Sannuhe Airport,39.7178,118.003,唐山市,130200,唐山市,130200,地级市,河北省,130000,省,Hebei,Province
CN,Hebei,XNT,ZBXT,Xingtai Dalian Airport,36.8831,114.429,邢台市,130500,邢台市,130500,地级市,河北省,130000,省,Hebei,Province
CN,Hebei,ZQZ,ZBZJ,Zhangjiakou Ningyuan Airport,40.7386,114.93,张家口市,130700,张家口市,130700,地级市,河北省,130000,省,Hebei,Province
CN,Heilongjiang,DQA,ZYDQ,Daqing Sartu Airport,46.7464,125.141,大庆市,230600,大庆市,230600,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,DTU,,Wudalianchi Airport,48.445,126.133,黑河市,231100,黑河市,231100,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,FYJ,ZYFY,Fuyuan Dongji Airport,48.1995,134.366,佳木斯市,230800,佳木斯市,230800,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,HEK,ZYHE,Heihe Airport,50.1716,127.309,黑河市,231100,黑河市,231100,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,HRB,ZYHB,Harbin Taiping International Airport,45.6234,126.25,哈尔滨市,230100,哈尔滨市,230100,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,JGD,ZYJD,Jiagedaqi Airport,50.3714,124.118,呼伦贝尔市,150700,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Heilongjiang,JMU,ZYJM,Jiamusi Dongjiao Airport,46.8434,130.465,佳木斯市,230800,佳木斯市,230800,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,JSJ,ZYJS,Jiansanjiang Airport,47.11,132.66,佳木斯市,230800,佳木斯市,230800,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,JXA,ZYJX,Jixi Xingkaihu Airport,45.293,131.193,鸡西市,230300,鸡西市,230300,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,LDS,ZYLD,Yichun Lindu Airport,47.7521,129.019,伊春市,230700,伊春市,230700,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,MDG,ZYMD,Mudanjiang Hailang Airport,44.5241,129.569,牡丹江市,231000,牡丹江市,231000,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,NDG,ZYQQ,Qiqihar Sanjiazi Airport,47.2396,123.918,齐齐哈尔市,230200,齐齐哈尔市,230200,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,OHE,ZYMH,Mohe Gulian Airport,52.9128,122.43,大兴安岭地区,232700,大兴安岭地区,232700,地区,黑龙江省,230000,省,Heilongjiang,Province
CN,Heilongjiang,YLN,ZYYL,Yilan Airport,46.317,129.567,哈尔滨市,230100,哈尔滨市,230100,地级市,黑龙江省,230000,省,Heilongjiang,Province
CN,Henan,AYN,ZHAY,Anyang Airport,36.1339,114.344,安阳市,410500,安阳市,410500,地级市,河南省,410000,省,Henan,Province
CN,Henan,CGO,ZHCC,Zhengzhou Xinzheng International Airport,34.5197,113.841,郑州市,410100,郑州市,410100,地级市,河南省,410000,省,Henan,Province
CN,Henan,HSJ,,Zhengzhou Shangjie Airport,34.8422,113.274,郑州市,410100,郑州市,410100,地级市,河南省,410000,省,Henan,Province
CN,Henan,LYA,ZHLY,Luoyang Beijiao Airport,34.7411,112.388,洛阳市,410300,洛阳市,410300,地级市,河南省,410000,省,Henan,Province
CN,Henan,NNY,ZHNY,Nanyang Jiangying Airport,32.9808,112.615,南阳市,411300,南阳市,411300,地级市,河南省,410000,省,Henan,Province
CN,Henan,XAI,ZHXY,Xinyang Minggang Airport,32.5414,114.078,驻马店市,411700,驻马店市,411700,地级市,河南省,410000,省,Henan,Province
CN,Hubei,ENH,ZHES,Enshi Xujiaping Airport,30.3203,109.485,恩施土家族苗族自治州,422800,恩施土家族苗族自治州,422800,自治州,湖北省,420000,省,Hubei,Province
CN,Hubei,HPG,ZHSN,Shennongjia Hongping Airport,31.626,110.34,神农架林区,429021,不统计,0,不统计,湖北省,420000,省,Hubei,Province
CN,Hubei,LHK,ZHGH,Laohekou Airport,32.3894,111.695,襄阳市,420600,襄阳市,420600,地级市,湖北省,420000,省,Hubei,Province
CN,Hubei,SHS,ZHSS,Shashi Airport,30.3243,112.28,荆州市,421000,荆州市,421000,地级市,湖北省,420000,省,Hubei,Province
CN,Hubei,WDS,ZHSY,Shiyan Wudangshan Airport,32.5917,110.908,十堰市,420300,十堰市,420300,地级市,湖北省,420000,省,Hubei,Province
CN,Hubei,WUH,ZHHH,Wuhan Tianhe International Airport,30.7838,114.208,武汉市,420100,武汉市,420100,地级市,湖北省,420000,省,Hubei,Province
CN,Hubei,XFN,ZHXF,Xiangyang Liuji Airport,32.1506,112.291,襄阳市,420600,襄阳市,420600,地级市,湖北省,420000,省,Hubei,Province
CN,Hubei,YIH,ZHYC,Yichang Sanxia Airport,30.5565,111.48,宜昌市,420500,宜昌市,420500,地级市,湖北省,420000,省,Hubei,Province
CN,Hubei,EHU,ZHEC,Ezhou Huahu Airport,30.3429,115.03,鄂州市,420700,鄂州市,420700,地级市,湖北省,420000,省,Hubei,Province
